Name,Type,RAB2000,DEB2000,Source,Const,l_size,size,mag,n_mag,Desc
 1850, OC,05 08.5,-68 46,s,Dor, ,  3.0, 9.3, ,"glob. cl. ! vB, L, lE, vmCM, rr"
 1854, OC,05 09.1,-68 51,r,Dor, ,     ,10.0,p,"glob. cl. , cB, S, R, gbM, 2nd of 3"
 1849, OC,05 09.2,-66 18,r,Dor, ,     ,    , ,"vF, S, lE, glbM"
 1856, OC,05 09.4,-69 08,r,Dor, ,     ,10.0,p,"B, pL, R, gbM, 12s  diam RA"
 1861, OC,05 10.1,-70 46,r,Men, ,     ,    , ,"eF, pL, R, gvlbM"
 1860, OC,05 10.4,-68 46,r,Dor, ,     ,    , ,"F, pL, R, vgbM"
 1807, OC,05 10.7,+16 32,s,Tau, , 17.0, 7.0, ,"Cl, pRi, st L & S"
 1859, OC,05 11.4,-65 13,r,Dor, ,     ,    , ,"F, S, R, vgbM, *7 nf 6'"
 1863, OC,05 11.4,-68 47,r,Dor, ,     ,    , ,"vB, vS, R, r or stellar"
 1817, OC,05 12.1,+16 42,s,Tau, , 16.0, 7.7, ,"Cl, L, Ri, lC, st 11...14"
 1862, OC,05 12.2,-66 08,r,Dor, ,     ,    , ,"pF, L, iR, vgbM, r"
 1865, OC,05 12.2,-68 47,r,Dor, ,     ,    , ,"vF, pL, R, vglbM"
 1864, OC,05 12.5,-67 38,r,Dor, ,     ,    , ,"F, pS, iR, bM, r or stellar"
 1878, OC,05 12.6,-70 28,r,Men, ,     ,    , ,"vF, lE, gvlbM, R"
 1870, OC,05 13.0,-69 08,r,Dor, ,     ,    , ,"B, S, R, glbM"
 1866, OC,05 13.5,-65 28,s,Dor, ,  5.0, 9.8, ,"vB, L, R, vgmbM, r"
 1867, OC,05 13.5,-66 17,r,Dor, ,     ,    , ,"eF, pL, R"
 1890, OC,05 13.9,-72 04,r,Men, ,     ,    , ,"vF, S, R, glbM"
 1885, OC,05 15.0,-68 58,r,Dor, ,     ,    , ,"pB, vS, R, bM"
 1882, OC,05 15.2,-66 07,r,Dor, ,     ,    , ,"pF, R, vgvlbM, r"
 1894, OC,05 15.7,-69 27,r,Dor, ,     ,    , ,"F, pL, R, sbM, r, st inv"
 1887, OC,05 15.8,-66 18,r,Dor, ,     ,    , ,"vF, vS, R, * p 25"""
 1903, OC,05 17.2,-69 18,r,Dor, ,     ,12.0,p,"vB, S, R, gmbM"
 1897, OC,05 17.4,-67 26,r,Dor, ,     ,    , ,"eF, S, R"
 1916, OC,05 17.5,-69 22,r,Dor, ,     ,    , ,"B, S, R, vgvmbM, r"
 1901, OC,05 17.8,-68 26,r,Dor, ,     ,    , ,"Cl, bM, lRi, st 7..."
I 406, OC,05 17.8,+39 53,x,Aur, ,     ,    , ,"eF, neb or eS neb Cl"
 1902, OC,05 18.1,-66 37,r,Dor, ,     ,    , ,"glob. cl. , pB, pL, R, pmbM, rr"
 1910, OC,05 18.1,-69 13,s,Dor, ,  1.0,    , ,"Cl, L, pRi, iR, st 11...16"
 1905, OC,05 18.2,-67 15,r,Dor, ,     ,    , ,"F, S, R, r"
 1913, OC,05 18.4,-69 33,r,Dor, ,     ,    , ,"no descr, in LMC"
 1900, OC,05 19.0,-63 02,r,Dor, ,     ,    , ,"F, pL, lE, vgvlbM, *7 np"
 1922, OC,05 19.7,-69 29,r,Dor, ,     ,    , ,"no descr, in LMC"
 1857, OC,05 20.2,+39 21,s,Aur, ,  6.0, 7.0, ,"Cl, pRi, pC, st 7..."
 1926, OC,05 20.5,-69 30,r,Dor, ,     ,    , ,"pB, pL, iR, r, in dif n"
 1928, OC,05 20.8,-69 29,r,Dor, ,     ,    , ,"pF, pL, R, gbM"
 1938, OC,05 21.4,-69 55,r,Men, ,     ,    , ,"pB, pS, R, glbM, D with 1939, pos 339deg"
 1939, OC,05 21.4,-69 56,r,Men, ,     ,    , ,"F, S, R, glbM, D with 1938"
 1944, OC,05 21.9,-72 30,r,Men, ,     ,    , ,"pB, pL, R, bM"
 1933, OC,05 22.2,-66 09,D,Dor, ,     ,    , ,"eF, R, stellar, D with 1932"
 1932, OC,05 22.4,-66 09,D,Dor, ,     ,    , ,"pB, S, R, smbM, D with 1933, pos 260deg , 80"""
 1940, OC,05 22.6,-67 12,r,Dor, ,     ,    , ,"pB, vS, R, bM, 2 st 9 & 10 f"
 1893, OC,05 22.7,+33 24,s,Aur, , 11.0, 7.5, ,"Cl, L, Ri, lC"
 1950, OC,05 24.5,-69 57,r,Men, ,     ,    , ,the 1st of a group of 7!
 1942, OC,05 24.7,-63 56,r,Dor, ,     ,    , ,"eF, stell, *14 + neb"
 1946, OC,05 25.1,-66 25,r,Dor, ,     ,    , ,"pF, R, gbM, r"
 1958, OC,05 25.5,-69 50,r,Dor, ,     ,    , ,"F, pL, iR, vgbM, 2nd of group!"
 1959, OC,05 25.8,-69 56,r,Men, ,     ,    , ,"F, vL, vgbM, 3rd of group!"
 1883, OC,05 25.9,+46 33,s,Aur, ,  3.0,12.0,p,"Cl, vF, pRi, pC, iF"
 1951, OC,05 25.9,-66 36,r,Dor, ,     ,10.0,p,"B, lE, sbM ** 10 & 11"
 1967, OC,05 26.5,-69 04,r,Dor, ,     ,    , ,"no descr, in LMC"
 1969, OC,05 26.5,-69 49,r,Dor, ,     ,    , ,"F, S, 4th of gr of 7"
 1971, OC,05 26.7,-69 51,r,Dor, ,     ,    , ,5th of gr of 7
 1972, OC,05 26.7,-69 49,r,Dor, ,     ,    , ,"6th of gr of 7! D, a vS neb np"
 2000, OC,05 27.4,-71 55,r,Men, ,     ,    , ,"F, pL, R, vlbM"
 1986, OC,05 27.5,-69 58,r,Men, ,     ,11.0,p,"B, pL, R, gbM"
 1907, OC,05 28.0,+35 19,s,Aur, ,  7.0, 8.2, ,"Cl, pRi, pC, R, st 9...12"
 1994, OC,05 28.2,-69 07,r,Dor, ,     ,    , ,"Cl, eS, st 11...16"
